trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",20,0,-63.806681467044314,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",35,0,-87.84079570498369,"{0: 26, 1: 1, 2: 6, 3: 1, 4: 1}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",25,14,-30.791437652431675,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",20,0,-24.228142659157132,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",25,4,-60.97291080061964,"{0: 12, 1: 2, 2: 7, 3: 0, 4: 0}",1
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",30,0,-92.13771612612246,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",35,7,-79.85080112939823,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 1}",1
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",20,10,-65.2005397880087,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 1}",1
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",30,0,-26.17701734486323,"{0: 22, 1: 6, 2: 2, 3: 0, 4: 0}",1
72,False,"{'a': 0.01, 'e': 0.751805729140895}",25,11,14.329749620850272,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",25,0,-23.31657528287881,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",25,0,-182.48569848543204,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",35,0,-144.14301354422287,"{0: 24, 1: 3, 2: 5, 3: 1, 4: 2}",0
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",20,0,-18.490588949691542,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",20,0,-16.955900646109225,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",25,9,-30.098934043839364,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 0}",1
79,False,"{'a': 0.01, 'e': 0.7038453156522362}",20,0,-87.39771199921853,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
80,False,"{'a': 0.01, 'e': 0.6967067093471655}",20,0,-63.24434661168877,"{0: 9, 1: 7, 2: 4, 3: 0, 4: 0}",0
81,False,"{'a': 0.01, 'e': 0.6894984329517471}",25,4,-100.6754999769492,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 2}",1
82,False,"{'a': 0.01, 'e': 0.6822212072876136}",25,0,-82.61753708118114,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
83,False,"{'a': 0.01, 'e': 0.6748757600712672}",20,16,5.32661491384015,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.01, 'e': 0.6674628258413082}",20,0,-40.56866460142538,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",20,0,-19.54656279035023,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",20,11,-17.165088430083244,"{0: 5, 1: 3, 2: 1, 3: 0, 4: 0}",1
